title,agency,date
"Attorney General Cameron Joins DOJ, Multi-State Coalition in $75 Million Settlement with Bristol-Myers Squibb for Overcharging State Medicaid Programs for Drugs",Kentucky Attorney General,
Attorney General Ford Announces Sentencing of Former Medicaid Provider Business Owner,Nevada Attorney General,
"Home Care Company Owner Pleads Guilty to Medicaid Fraud, Agrees to Pay $1,000,000 Restitution",New Hampshire Attorney General,
Attorney General Wilson announces Sumter man indicted for attempted sexual assault of nursing home resident,South Carolina Attorney General,
Attorney General Wilson announces two Upstate women indicted on charges of stealing prescription drugs from nursing home residents,South Carolina Attorney General,
Virginia Diagnostic Testing Lab Agrees to Pay $1.4 Million to Resolve False Claims Act Allegations,"U.S. Attorney’s Office, District of New Jersey",
Georgia Woman And Montgomery Man Plead Guilty To Their Part In Drug Distribution Conspiracy Involving Montgomery Physician,"U.S. Attorney’s Office, Middle District of Alabama",
Jury Convicts Medical Equipment Company Owners of $27 Million Fraud,U.S. Department of Justice,
Shoshone County Woman Sentenced for Provider Fraud,Idaho Attorney General,
Attorney General Josh Stein Wins Two Operation Root Canal Settlements,North Carolina Attorney General,
"Manhattan Doctor Sentenced To More Than 17 Years In Prison For Bribery And Kickback Scheme, And For Distributing Oxycodone And Fentanyl For No Legitimate Medical Purpose","U.S. Attorney’s Office, Southern District of New York",
Medical Device Companies Alere Inc. and Alere San Diego Inc. Agree to Pay $38.75 Million to Settle False Claims Act Allegations,U.S. Department of Justice,
St. Jude Agrees to Pay $27 Million for Allegedly Selling Defective Heart Devices,U.S. Department of Justice,
Kootenai County Woman Sentenced for Providing False Information to Vital Statistics,Idaho Attorney General,
"Owner Of Spring Hill-Based Crestar Labs, LLC Charged In Massive Medicare Fraud Scheme","U.S. Attorney’s Office, Middle District of Tennessee",
"McMinn County Woman Indicted, Accused of Impersonating a Licensed Professional",Tennessee Attorney General,
Contract Rehabilitation Therapy Providers Agree to Pay $8.4 Million to Resolve False Claims Act Allegations Relating to the Provision of Medically Unnecessary Therapy Services,U.S. Department of Justice,
Northern Ohio Health System Agrees to Pay Over $21 Million to Resolve False Claims Act Allegations for Improper Payments to Referring Physicians,U.S. Department of Justice,
Former Exeter Hospital Employee's Request for Compassionate Release From 39-Year Sentence Denied,"U.S. Attorney’s Office, District of New Hampshire",
Operator of Residential Nursing Facility Sentenced for Health Care Fraud,"U.S. Attorney’s Office, Eastern District of Virginia",
"AG SHAPIRO CHARGES MORE DRUG AND ALCOHOL TREATMENT PROVIDERS FOR ILLEGAL KICKBACKS, TAKING ADVANTAGE OF PEOPLE IN RECOVERY",Pennsylvania Attorney General,
"California’s Second-Largest Skilled Nursing Facility Operator Pays $450,000 to Resolve False Claims Act Allegations","U.S. Attorney’s Office, Eastern District of California",
Surgical Care Affiliates And Orlando Surgery Center Agree To Pay $3.4 Million To Settle False Claims Act Liability,"U.S. Attorney’s Office, Middle District of Florida",
"Owner of Two Pharmacies Pays $300,000 to Resolve Controlled Substances Act Violations","U.S. Attorney’s Office, Southern District of West Virginia",
Attorney General Josh Stein Announces Health Care Fraud Sentencing,North Carolina Attorney General,
Connecticut Addiction Medicine Provider Pays $1 Million to Settle Improper Billing Allegations,"U.S. Attorney’s Office, District of Connecticut",
"Medicaid Provider Arrested for Stealing More Than $5,000 from Taxpayer-Funded Program",Florida Attorney General,
"Missouri Attorney General Obtains $150,000 Medicaid Fraud Settlement",Missouri Attorney General,
Dominican National Pleads Guilty to Misusing a Social Security Number,"U.S. Attorney’s Office, District of Massachusetts",
Jefferson County Doctor Sentenced to Federal Prison for Health Care Fraud Violations,"U.S. Attorney’s Office, Eastern District of Texas",
"AG Healey Reaches $90,000 Settlement With Milton Nursing Home Over Emergency Response Failures and Neglect of Resident Resulting in Death",Massachusetts Attorney General,
Tennessee Doctor Pleads Guilty to Hydrocodone Distribution Resulting in Death,"U.S. Attorney’s Office, Western District of Tennessee",
Justice Department Reaches Settlement Agreement with Physicians Group in El Paso Over Allegations of Violating the False Claims Act,"U.S. Attorney’s Office, Western District of Texas",
Attorney General Moody Secures $2 Million Payment from Medicrea to Resolve False Claims and Kickback Allegations,Florida Attorney General,
Former Assisted Living Employee Arrested for Striking 87-Year-Old Alzheimer’s Resident in the Face,Florida Attorney General,
Dominican National Pleads Guilty to Identity Theft Charges,"U.S. Attorney’s Office, District of Massachusetts",
"Acting U.S. Attorney Hairston and AG Stein Announce $330,000 Health Care Fraud Settlement with Triad Doctor","U.S. Attorney’s Office, Middle District of North Carolina",
"AG Stein and Acting U.S. Attorney Hairston Announce $330,000 Health Care Fraud Settlement with Triad Doctor",North Carolina Attorney General,
Former Cedar Rapids Hospital Employee Sentenced for Accessing Ex-Boyfriend’s Medical Records,"U.S. Attorney’s Office, Northern District of Iowa",
"Oklahoma City Doctor Pays $325,000 to Settle Civil Penalty Claims","U.S. Attorney’s Office, Western District of Oklahoma",
Pair Plead Guilty to Kickback Scheme,"U.S. Attorney’s Office, Western District of Virginia",
"Kentuckiana Physician And Nurse Practitioner Found Guilty Of Conspiracy To Distribute Controlled Substances, Conspiracy To Commit Health Care Fraud, And Conspiracy To Commit Money Laundering","U.S. Attorney’s Office, Western District of Kentucky",
Attorney General Cameron Announces Investigation by His Office Leads to Conviction of Bracken County Woman for Attempted Forgery,Kentucky Attorney General,
Seven charged for roles in a $110 million compound drug scheme,"U.S. Attorney’s Office, Southern District of Texas",
Co-Conspirator Sentenced On Charge Of Social Security Fraud,"U.S. Attorney’s Office, District of Puerto Rico",
Manhattan Doctor Sentenced To Nearly 5 Years In Prison For Accepting Bribes And Kickbacks In Exchange For Prescribing Fentanyl Drug,"U.S. Attorney’s Office, Southern District of New York",
Former Doctor Sentenced for Unlawfully Distributing Controlled Substances,U.S. Department of Justice,
Prince George’s County Physician Indicted for Medicaid Fraud and Drug Distribution,Maryland Attorney General,
Former Ridgway Physician Agrees to Forgo Practicing Medicine and Pay Penalty to Resolve Allegations that He Prescribed Controlled Substances without a Medical License,"U.S. Attorney’s Office, District of Colorado",
Camden County Man Sentenced to One Year in Prison for Theft of Government Funds with Stolen Electronic Benefits Machine,"U.S. Attorney’s Office, District of New Jersey",
"Kentuckiana Physician And Nurse Practitioner Found Guilty Of Conspiracy To Distribute Controlled Substances, Conspiracy To Commit Health Care Fraud, And Conspiracy To Commit Money Laundering","U.S. Attorney’s Office, Western District of Kentucky",
United States Files Suit Against California Skilled Nursing Chain and its Owner for Allegedly Paying Illegal Kickbacks to Physicians,U.S. Department of Justice,
"Attorney General Cameron Announces Investigation, Prosecution by His Office Results in Conviction of Hardin County Man, Woman for Defrauding Medicaid",Kentucky Attorney General,
President and Vice President of Mental Health and Substance Abuse Treatment Programs Plead Guilty to Medicaid Fraud,Maryland Attorney General,
"AG SHAPIRO, 45TH STATEWIDE GRAND JURY CHARGE FOUR IN $10 MILLION MEDICAID FRAUD SCHEME",Pennsylvania Attorney General,
"U.S. Recovers $650,000 from Local Providers Who Billed Medicare and Medicaid for Screening Tests Not Performed","U.S. Attorney’s Office, District of Rhode Island",
Niagara Falls Woman Pleads Guilty To Conspiring To Defraud Health Insurance Company,"U.S. Attorney’s Office, Western District of New York",
"Nurse Aide Arrested, Charged with Theft, Financial Exploitation",Tennessee Attorney General,
Dominican National Pleads Guilty to Misusing a Social Security Number and Making a False Statement,"U.S. Attorney’s Office, District of Massachusetts",
"Two PA Chiropractic Practices Pay Over $800,000 to Resolve Alleged False Claims Act Liability Arising from Billing of P-Stim Devices","U.S. Attorney’s Office, Eastern District of Pennsylvania",
Pain doctor pays to settle allegations arising from false billing,"U.S. Attorney’s Office, Southern District of Texas",
"Plant City Resident Arrested for Stealing More Than $180,000 from Taxpayer-Funded Program",Florida Attorney General,
Associate Medical Director of Baltimore County Pain Management Practice Pleads Guilty to Accepting Kick-Backs,"U.S. Attorney’s Office, District of Maryland",
Healthcare Practitioners to Pay over $1 Million to Resolve False Claims Act Liability Arising from Billing of P-Stim Devices,"U.S. Attorney’s Office, Western District of Texas",
AG Healey Sues Orthodontist for Illegally Charging MassHealth Patients for Missed or Cancelled Appointments,Massachusetts Attorney General,
Dominican National Sentenced for False Identity Crimes,"U.S. Attorney’s Office, District of Massachusetts",
Third Arkansas Physician Sentenced to Federal Prison for Prescription Fraud,"U.S. Attorney’s Office, Western District of Arkansas",
Wrongful billing results in $2.6M settlement and 10-year exclusion from federal health care programs,"U.S. Attorney’s Office, Southern District of Texas",
Attorney General Josh Stein Announces Greenville Health Care Fraud Conviction and Sentencing,North Carolina Attorney General,
Court Orders Toledo Pharmacy and Two Pharmacists to Stop Dispensing Dangerous Doses and Combinations of Opioids and Other Controlled Substances,Department of Justice,
Counselor Involved in Wide-Ranging Medicaid Fraud Scheme Pleads Guilty,"U.S. Attorney’s Office, District of Connecticut",
Prosecutions by Missouri Attorney General Lead to the Barring of Four Missouri Individuals from Participating in Government Healthcare Services,Missouri Attorney General,
Attorney General Ford Announces Sentencing of Keyana Lanice Jamill Carter for Medicaid Fraud,Nevada Attorney General,
Physician Pleads Guilty in Medicaid Fraud Conspiracy,Department of Justice,
Employee of Autism Services Agency Pleads Guilty to Health Care Fraud and Identity Theft Offenses,"U.S. Attorney’s Office, District of Connecticut",
Medical Doctor Sentenced For Drug Trafficking And Health Care Fraud Offenses,"U.S. Attorney’s Office, Eastern District of Tennessee",
Texas Man Pleads Guilty to Receiving Kick Back Payments in Exchange for Referrals to OK Compounding,"U.S. Attorney’s Office, Northern District of Oklahoma",
"Manhattan U.S. Attorney Files Suit Against Eleven Skilled Nursing Facilities And Their Management Company, Owner, And A Senior Employee For Fraudulently Billing Medicare For Unnecessary Services","U.S. Attorney’s Office, Southern District of New York",
AG Shapiro: Nursing Home Manager Pleads To Recklessly Endangering Three Residents,Pennsylvania Attorney General,
Federal And State Officials Advise COVID-19 Vaccine Providers In Wisconsin That Individuals Seeking Vaccinations Cannot Be Charged,"U.S. Attorney’s Office, Eastern District of Wisconsin",
Jury Convicts West Virginia Doctor of Drug Distribution,Department of Justice,
Queens Pharmacy Owner Sentenced to 36 Months in Prison for Health Care Fraud and Narcotics Distribution,"U.S. Attorney’s Office, Eastern District of New York",
Two Arkansas Physicians Sentenced to a Total of 150 Months in Federal Prison for Prescription Fraud,"U.S. Attorney’s Office, Western District of Arkansas",
El Paso Doctor Indicted for Distributing Controlled Substances and Health Care Fraud Resulting in Five Deaths,"U.S. Attorney’s Office, Western District of Texas",
